Pokemon, Number, Type1, Type2, Ability1, Ability2, Ability3, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, Sprite
Chespin,650,GRASS,none,Overgrow,Bulletproof,none,56,61,65,48,45,38,https://play.pokemonshowdown.com/sprites/bw/chespin.png
Quilladin,651,GRASS,none,Overgrow,Bulletproof,none,61,78,95,56,58,57,https://play.pokemonshowdown.com/sprites/bw/quilladin.png
Chesnaught,652,GRASS,FIGHTING,Overgrow,Bulletproof,none,88,107,122,74,75,64,https://play.pokemonshowdown.com/sprites/bw/chesnaught.png
Fennekin,653,FIRE,none,Blaze,Magician,none,40,45,40,62,60,60,https://play.pokemonshowdown.com/sprites/bw/fennekin.png
Braixen,654,FIRE,none,Blaze,Magician,none,59,59,58,90,70,73,https://play.pokemonshowdown.com/sprites/bw/braixen.png
Delphox,655,FIRE,PSYCHIC,Blaze,Magician,none,75,69,72,114,100,104,https://play.pokemonshowdown.com/sprites/bw/delphox.png
Froakie,656,WATER,none,Torrent,Protean,none,41,56,40,62,44,71,https://play.pokemonshowdown.com/sprites/bw/froakie.png
Frogadier,657,WATER,none,Torrent,Protean,none,54,63,52,83,56,97,https://play.pokemonshowdown.com/sprites/bw/frogadier.png
Greninja,658,WATER,DARK,Torrent,Protean,Battle Bond,72,95,67,103,71,122,https://play.pokemonshowdown.com/sprites/bw/greninja.png
Bunnelby,659,NORMAL,none,Pickup,Cheek Pouch,Huge Power,38,36,38,32,36,57,https://play.pokemonshowdown.com/sprites/bw/bunnelby.png
Diggersby,660,NORMAL,GROUND,Pickup,Cheek Pouch,Huge Power,85,56,77,50,77,78,https://play.pokemonshowdown.com/sprites/bw/diggersby.png
Fletchling,661,NORMAL,FLYING,Big Pecks,Gale Wings,none,45,50,43,40,38,62,https://play.pokemonshowdown.com/sprites/bw/fletchling.png
Fletchinder,662,FIRE,FLYING,Flame Body,Gale Wings,none,62,73,55,56,52,84,https://play.pokemonshowdown.com/sprites/bw/fletchinder.png
Talonflame,663,FIRE,FLYING,Flame Body,Gale Wings,none,78,81,71,74,69,126,https://play.pokemonshowdown.com/sprites/bw/talonflame.png
Scatterbug,664,BUG,none,Shield Dust,Compound Eyes,Friend Guard,38,35,40,27,25,35,https://play.pokemonshowdown.com/sprites/bw/scatterbug.png
Spewpa,665,BUG,none,Shed Skin,Friend Guard,none,45,22,60,27,30,29,https://play.pokemonshowdown.com/sprites/bw/spewpa.png
Vivillon,666,BUG,FLYING,Shield Dust,Compound Eyes,Friend Guard,80,52,50,90,50,89,https://play.pokemonshowdown.com/sprites/bw/vivillon.png
Litleo,667,FIRE,NORMAL,Rivalry,Unnerve,Moxie,62,50,58,73,54,72,https://play.pokemonshowdown.com/sprites/bw/litleo.png
Pyroar,668,FIRE,NORMAL,Rivalry,Unnerve,Moxie,86,68,72,109,66,106,https://play.pokemonshowdown.com/sprites/bw/pyroar.png
