Pokemon, Number, Type1, Type2, Ability1, Ability2, Ability3, HP, Attack, Defense, Sp. Atk, Sp. Def, Speed, Sprite
Turtwig,387,GRASS,none,Overgrow,Shell Armor,none,55,68,64,45,55,31,https://play.pokemonshowdown.com/sprites/bw/turtwig.png
Grotle,388,GRASS,none,Overgrow,Shell Armor,none,75,89,85,55,65,36,https://play.pokemonshowdown.com/sprites/bw/grotle.png
Torterra,389,GRASS,GROUND,Overgrow,Shell Armor,none,95,109,105,75,85,56,https://play.pokemonshowdown.com/sprites/bw/torterra.png
Chimchar,390,FIRE,none,Blaze,Iron Fist,none,44,58,44,58,44,61,https://play.pokemonshowdown.com/sprites/bw/chimchar.png
Monferno,391,FIRE,FIGHTING,Blaze,Iron Fist,none,64,78,52,78,52,81,https://play.pokemonshowdown.com/sprites/bw/monferno.png
Infernape,392,FIRE,FIGHTING,Blaze,Iron Fist,none,76,104,71,104,71,108,https://play.pokemonshowdown.com/sprites/bw/infernape.png
Piplup,393,WATER,none,Torrent,Defiant,none,53,51,53,61,56,40,https://play.pokemonshowdown.com/sprites/bw/piplup.png
Prinplup,394,WATER,none,Torrent,Defiant,none,64,66,68,81,76,50,https://play.pokemonshowdown.com/sprites/bw/prinplup.png
Empoleon,395,WATER,STEEL,Torrent,Defiant,none,84,86,88,111,101,60,https://play.pokemonshowdown.com/sprites/bw/empoleon.png
Starly,396,NORMAL,FLYING,Keen Eye,Reckless,none,40,55,30,30,30,60,https://play.pokemonshowdown.com/sprites/bw/starly.png
Staravia,397,NORMAL,FLYING,Intimidate,Reckless,none,55,75,50,40,40,80,https://play.pokemonshowdown.com/sprites/bw/staravia.png
Staraptor,398,NORMAL,FLYING,Intimidate,Reckless,none,85,120,70,50,60,100,https://play.pokemonshowdown.com/sprites/bw/staraptor.png
Bidoof,399,NORMAL,none,Simple,Unaware,Moody,59,45,40,35,40,31,https://play.pokemonshowdown.com/sprites/bw/bidoof.png
Bibarel,400,NORMAL,WATER,Simple,Unaware,Moody,79,85,60,55,60,71,https://play.pokemonshowdown.com/sprites/bw/bibarel.png
Kricketot,401,BUG,none,Shed Skin,Run Away,none,37,25,41,25,41,25,https://play.pokemonshowdown.com/sprites/bw/kricketot.png
Kricketune,402,BUG,none,Swarm,Technician,none,77,85,51,55,51,65,https://play.pokemonshowdown.com/sprites/bw/kricketune.png
Shinx,403,ELECTRIC,none,Rivalry,Intimidate,Guts,45,65,34,40,34,45,https://play.pokemonshowdown.com/sprites/bw/shinx.png
Luxio,404,ELECTRIC,none,Rivalry,Intimidate,Guts,60,85,49,60,49,60,https://play.pokemonshowdown.com/sprites/bw/luxio.png
Luxray,405,ELECTRIC,none,Rivalry,Intimidate,Guts,80,120,79,95,79,70,https://play.pokemonshowdown.com/sprites/bw/luxray.png
Budew,406,GRASS,POISON,Natural Cure,Poison Point,Leaf Guard,40,30,35,50,70,55,https://play.pokemonshowdown.com/sprites/bw/budew.png
Roserade,407,GRASS,POISON,Natural Cure,Poison Point,Technician,60,70,65,125,105,90,https://play.pokemonshowdown.com/sprites/bw/roserade.png
Cranidos,408,ROCK,none,Mold Breaker,Sheer Force,none,67,125,40,30,30,58,https://play.pokemonshowdown.com/sprites/bw/cranidos.png
Rampardos,409,ROCK,none,Mold Breaker,Sheer Force,none,97,165,60,65,50,58,https://play.pokemonshowdown.com/sprites/bw/rampardos.png
Shieldon,410,ROCK,STEEL,Sturdy,Soundproof,none,30,42,118,42,88,30,https://play.pokemonshowdown.com/sprites/bw/shieldon.png
Bastiodon,411,ROCK,STEEL,Sturdy,Soundproof,none,60,52,168,47,138,30,https://play.pokemonshowdown.com/sprites/bw/bastiodon.png
